TP01,The Village,Varkala Beach | Varkala,2BHK,1000,Ac | 1 KingSize Bed | Swimming pool,0.6km,OW01
TP01,ARONIC beach hotel,North Street | Varkala,BHK,1600,Ac | Heater | Bed | Swimming pool,1.0km,OW01
TP01,Hotel Dain Castle,Varkala Beach | Varkala,3BH,2300,Ac | Heater | 3 Bed | Sea view,2.0km,OW01
TP02,Tea County Munnar,Old Munnar | Munnar | Idukki,2BHK,2000,Offering scenic views of the hills,1.0km,OW01
TP02,Windermere Estate,Bison Valley Road | Munnar,3BHK,3300,View of coffee and tea plantations,2.0km,OW01
TP02,Spice Tree Munnar,Meencut | Munnar | Kerala,2BHK,4999,Panoramic views of the Western Ghats,1.0km,OW01
TP03,Punnappra Guest House,Punnappra | Alappuzha | Kerala,2BH,2000,Views of the backwaters,1.0km,OW01
TP03,Lake Palace Resort,Punnappra | Alappuzha | Kerala,2BH,1300,Beach View | Swimming pool,2.0km,OW01
TP03,Lemon Tree Vembanad Lake,Vembanadu Lake | Alappuzha,2BHK,3999,Whole view of Punnappra Beach,0.4km,OW01
TP04,The Windflower Resort,Vythiri | Wayanad | Kerala,2BHK,2000,Balcony with views of the hills,1.1km,OW01
TP04,Banasura Hill Resort,Padinjarathara | Wayanad | Kerala,3BHK,2300,Views of the Banasura hills,0.4km,OW01
TP04,The Coffee Grove,Meppadi | Wayanad | Kerala,3BHKT,3999,Rooms with garden views,1.0km,OW01
TP06,kkk,kkk jj dkd,er,123,sddhgghgsdsdf,23.3,OW01
TP07,hgjjshjsjads,jhjjvsjhj sdjbhdjh,gvehg,900,hvgvjjj,jjhj j asjvd,OW01
